Distillery,1,2,3,4,5,6,7,8,9,10,11,12
Aberfeldy,3,3,3,5,5,3,4,3,3,3,3,3
Aberlour,2,2,4,5,5,1,2,3,3,2,2,3
AnCnoc,4,2,3,5,5,3,5,5,3,3,2,3
Ardbeg,1,4,1,1,5,5,3,5,4,3,4,5
Ardmore,3,3,3,5,5,4,4,4,3,2,4,4
ArranIsleOf,3,2,4,4,5,4,4,4,5,4,4,3
Auchentoshan,5,3,5,5,5,4,4,5,3,3,2,2
Auchroisk,3,2,4,5,5,3,4,3,3,3,3,4
Aultmore,3,3,4,5,5,4,5,5,3,3,3,3
Balblair,3,2,3,4,5,5,3,5,3,4,3,4
Balmenach,1,2,3,5,5,3,4,2,2,5,4,3
Belvenie,2,3,4,5,5,2,3,4,5,3,3,3
BenNevis,1,3,3,5,5,3,3,5,3,3,3,3
Benriach,3,3,4,5,5,3,3,5,5,3,2,3
Benrinnes,2,3,3,5,5,2,4,4,3,2,3,3
Benromach,3,3,3,5,5,3,3,4,3,3,3,3
Bladnoch,4,3,4,5,5,5,4,4,5,3,3,2
BlairAthol,3,3,3,5,5,4,3,3,3,3,3,3
Bowmore,3,3,2,4,5,3,3,4,4,4,4,3
Bruichladdich,4,4,3,3,5,3,3,4,3,3,3,3
Bunnahabhain,4,3,4,4,5,4,4,4,4,3,3,2
Caol Ila,2,4,1,3,4,5,3,5,3,4,4,4
Cardhu,4,2,4,5,5,4,4,5,3,3,3,3
Clynelish,2,3,2,2,4,5,3,5,4,4,3,5
Craigallechie,3,3,3,5,4,3,3,4,3,3,4,1
Craigganmore,3,2,3,4,5,5,4,5,3,3,3,3
Dailuaine,1,3,3,5,5,4,3,3,3,3,3,4
Dalmore,2,3,3,4,5,4,3,3,4,3,2,4
Dalwhinnie,3,3,3,5,5,3,4,5,4,3,3,3
Deanston,3,3,4,5,5,3,4,4,4,2,3,4
Dufftown,3,2,4,4,5,5,5,5,4,3,3,3
Edradour,3,2,4,5,5,3,4,4,1,3,3,3
GlenDeveronMacduff,3,2,4,4,4,4,4,3,5,3,5,4
GlenElgin,3,2,4,5,5,3,4,4,4,4,3,2
GlenGarioch,3,4,2,5,5,5,2,4,5,3,3,3
GlenGrant,4,3,5,5,5,4,5,4,3,4,3,4
GlenKeith,3,2,4,5,5,4,3,4,3,4,3,4
GlenMoray,4,3,4,5,5,4,3,4,3,3,3,1
GlenOrd,2,3,4,5,5,4,3,4,4,3,3,3
GlenScotia,3,3,3,3,5,4,5,4,3,3,4,4
GlenSpey,4,2,4,5,5,5,4,4,4,3,5,3
Glenallachie,4,2,4,5,5,4,4,5,4,3,3,3
Glendronach,1,3,3,5,5,3,4,1,3,3,3,5
Glendullan,2,3,4,5,5,3,4,3,4,3,2,3
Glenfarclas,3,1,4,5,5,4,3,2,3,2,3,3
Glenfiddich,4,2,4,5,5,5,5,5,5,3,3,3
Glengoyne,4,3,5,5,5,4,4,4,3,3,2,3
Glenkinchie,4,3,4,5,5,4,3,5,5,3,3,3
Glenlivet,3,2,4,5,5,3,3,3,4,3,3,2
Glenlossie,4,3,4,5,5,4,3,5,4,3,3,3
Glenmorangie,3,3,4,4,5,4,3,5,3,4,3,3
Glenrothes,3,2,4,5,5,4,4,3,4,3,3,5
Glenturret,3,2,4,5,5,3,3,3,3,3,4,3
Highland Park,3,3,2,4,5,3,4,4,4,3,4,4
Inchgower,4,2,4,4,5,3,3,5,4,3,4,3
Isle of Jura,3,4,3,3,5,4,4,5,3,4,4,4
Knochando,3,2,4,5,5,3,3,4,3,4,3,3
Lagavulin,1,4,1,1,4,5,4,3,4,4,4,5
Laphroig,1,3,1,1,4,5,5,4,4,4,5,5
Linkwood,3,2,4,5,5,4,4,3,5,4,2,3
Loch Lomond,4,4,4,4,5,4,4,5,4,3,4,3
Longmorn,2,3,4,5,5,4,4,4,2,2,3,2
Macallan,1,2,4,5,5,3,4,1,3,3,2,4
Mannochmore,3,4,4,5,5,4,4,4,3,4,3,3
Miltonduff,3,1,4,5,5,4,5,5,3,4,4,3
Mortlach,2,3,3,5,5,3,2,2,3,4,3,3
Oban,3,3,3,3,5,5,3,5,3,3,3,5
OldFettercairn,4,3,3,5,4,3,3,4,3,2,4,4
OldPulteney,3,4,3,3,4,5,4,4,3,3,3,3
RoyalBrackla,3,2,3,4,4,4,3,4,5,3,2,3
RoyalLochnagar,2,3,3,5,5,3,3,3,3,3,2,4
Scapa,3,3,4,4,5,3,4,4,3,3,3,3
Speyburn,3,1,4,5,5,3,4,5,5,3,4,3
Speyside,3,3,4,5,5,4,5,4,3,3,3,3
Springbank,3,3,3,3,5,3,3,4,3,4,5,4
Strathisla,3,3,4,5,5,3,3,3,2,2,2,3
Strathmill,3,2,4,5,5,5,3,5,3,4,2,3
Talisker,1,3,2,2,5,4,2,5,4,3,3,5
Tamdhu,4,3,4,5,5,3,5,4,4,3,3,3
Tamnavulin,4,2,3,5,5,5,3,5,3,4,3,2
Teaninich,3,3,3,4,5,5,3,5,5,5,3,3
Tobermory,4,4,4,5,5,4,5,5,4,3,3,3
Tomatin,3,2,3,5,5,3,3,4,4,3,5,4
Tomintoul,5,2,4,5,5,3,3,4,4,3,4,3
Tormore,3,3,4,5,5,4,5,4,3,4,5,5
Tullibardine,3,2,5,5,4,5,3,4,4,3,3,4
